Detector,Total keypoints detected,keypoints on vehicle,Neighbourhood size
SHITOMASI,1370,127,4
SHITOMASI,1301,120,4
SHITOMASI,1361,123,4
SHITOMASI,1358,120,4
SHITOMASI,1333,120,4
SHITOMASI,1284,115,4
SHITOMASI,1322,114,4
SHITOMASI,1366,125,4
SHITOMASI,1389,112,4
SHITOMASI,1339,113,4
,,,
HARRIS,53,10,6
HARRIS,62,13,6
HARRIS,63,17,6
HARRIS,69,17,6
HARRIS,82,20,6
HARRIS,73,18,6
HARRIS,69,17,6
HARRIS,108,25,6
HARRIS,81,20,6
HARRIS,68,19,6
,,,
FAST,1824,149,7
FAST,1832,152,7
FAST,1810,152,7
FAST,1817,157,7
FAST,1793,149,7
FAST,1796,150,7
FAST,1788,157,7
FAST,1695,152,7
FAST,1749,139,7
FAST,1770,144,7
,,,
BRISK,2757,254,21.4408
BRISK,2777,274,21.9462
BRISK,2741,276,21.8423
BRISK,2735,275,20.4134
BRISK,2757,293,22.7797
BRISK,2695,275,23.0131
BRISK,2715,289,21.8076
BRISK,2628,268,22.2788
BRISK,2639,260,22.7065
BRISK,2672,250,22.2167
,,,
ORB,500,91,57.1108
ORB,500,102,57.2273
ORB,500,106,56.4948
ORB,500,113,55.1436
ORB,500,109,56.7442
ORB,500,124,56.5751
ORB,500,129,56.6104
ORB,500,127,55.2733
ORB,500,124,54.5089
ORB,500,125,54.4082
,,,
AKAZE,1351,162,7.77009
AKAZE,1327,157,7.49021
AKAZE,1311,159,7.41413
AKAZE,1351,154,7.47661
AKAZE,1360,162,7.74569
AKAZE,1347,163,7.70018
AKAZE,1363,173,7.74404
AKAZE,1331,175,7.82613
AKAZE,1357,175,7.79352
AKAZE,1331,175,7.84847
,,,
SIFT,1438,137,5.04017
SIFT,1371,131,5.09021
SIFT,1380,121,4.96249
SIFT,1335,135,4.74159
SIFT,1305,134,4.71959
SIFT,1370,139,4.65131
SIFT,1396,136,5.42744
SIFT,1382,147,4.63463
SIFT,1463,156,5.57716
SIFT,1422,135,5.67081
