Detector Name,Detection Time,Descriptor Name,Description Time,Number of matches
SHITOMASI,28.8616ms,BRISK,1.91817ms,
SHITOMASI,24.7022ms,BRISK,2.47065ms,97
SHITOMASI,31.4364ms,BRISK,2.93208ms,88
SHITOMASI,25.1288ms,BRISK,2.37441ms,80
SHITOMASI,33.3754ms,BRISK,2.42427ms,90
SHITOMASI,26.1449ms,BRISK,2.40227ms,82
SHITOMASI,28.2937ms,BRISK,3.41112ms,79
SHITOMASI,27.6919ms,BRISK,2.4919ms,86
SHITOMASI,30.1336ms,BRISK,2.35567ms,86
SHITOMASI,25.9961ms,BRISK,2.28768ms,83
,,,
SHITOMASI,35.5124ms,BRIEF,3.33011ms,
SHITOMASI,26.8719ms,BRIEF,2.71157ms,97
SHITOMASI,21.6727ms,BRIEF,2.48953ms,93
SHITOMASI,18.6288ms,BRIEF,2.92819ms,92
SHITOMASI,24.2907ms,BRIEF,2.42799ms,89
SHITOMASI,26.6242ms,BRIEF,2.35585ms,94
SHITOMASI,29.2118ms,BRIEF,2.76644ms,93
SHITOMASI,25.9187ms,BRIEF,2.64464ms,86
SHITOMASI,29.5639ms,BRIEF,2.43066ms,92
SHITOMASI,28.2922ms,BRIEF,2.56418ms,86
,,,
SHITOMASI,28.696ms,ORB,3.53143ms,
SHITOMASI,25.5263ms,ORB,2.02296ms,108
SHITOMASI,28.4976ms,ORB,1.92079ms,102
SHITOMASI,20.2087ms,ORB,1.69593ms,99
SHITOMASI,26.4118ms,ORB,1.85761ms,102
SHITOMASI,21.3185ms,ORB,2.54372ms,105
SHITOMASI,18.2766ms,ORB,2.59438ms,98
SHITOMASI,34.5915ms,ORB,1.84485ms,99
SHITOMASI,18.2809ms,ORB,1.725ms,105
SHITOMASI,28.242ms,ORB,1.78266ms,99
,,,
SHITOMASI,28.509ms,FREAK,79.836ms,
SHITOMASI,31.1243ms,FREAK,79.4271ms,87
SHITOMASI,16.6381ms,FREAK,65.101ms,90
SHITOMASI,13.5788ms,FREAK,60.6953ms,86
SHITOMASI,17.2674ms,FREAK,65.345ms,88
SHITOMASI,19.1029ms,FREAK,61.8678ms,87
SHITOMASI,17.0087ms,FREAK,65.0755ms,80
SHITOMASI,16.9907ms,FREAK,62.6816ms,81
SHITOMASI,20.0211ms,FREAK,63.1458ms,86
SHITOMASI,17.198ms,FREAK,67.356ms,86
,,,
SHITOMASI,36.0702ms,SIFT,37.9897ms,
SHITOMASI,18.6633ms,SIFT,35.541ms,115
SHITOMASI,19.6741ms,SIFT,28.698ms,109
SHITOMASI,31.5736ms,SIFT,24.9282ms,104
SHITOMASI,22.3934ms,SIFT,29.1898ms,103
SHITOMASI,16.8918ms,SIFT,23.8745ms,101
SHITOMASI,27.2856ms,SIFT,26.0572ms,101
SHITOMASI,32.1185ms,SIFT,30.3375ms,97
SHITOMASI,18.0332ms,SIFT,20.8979ms,107
SHITOMASI,23.147ms,SIFT,35.0378ms,99
,,,
HARRIS,32.508ms,BRISK,0.481358ms,
